Timestamp;Frame HEX;ID;Sts;FlightStatus;GNSS Fix;GNSS Fix Type;Lat;LatFloat;Lon;LonFloat;Altitude GNSS;Altitude Baro;Pressure;Pressure Float;Temperature;Temperature Float;Acc X;Acc X Float;Acc Y;Acc Y Float;Acc Z;Acc Z Float;Gyro X;Gyro X Float;Gyro Y;Gyro Y Float;Gyro Z;Gyro Z Float;Annex 0;Annex 0 Float;Annex 1;Annex 1 Float;CRC Received;CRC Calculated;CRC Check
[00:40:58.237] ;db 03 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f eb ff 1f 08 31 00 10 00 b9 ff ed ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.7876;4129755;1008.24;3844;38.44;-21;-0.0102539;2079;1.01514;49;0.0239258;16;0.976563;-71;-4.3335;-19;-1.15967;0;-2048;0;-2048;0;0;1
[00:40:58.739] ;7c 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f dd ff 19 08 3a 00 0f 00 c6 ff f1 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.4573;4129916;1008.28;3845;38.45;-35;-0.0170898;2073;1.01221;58;0.0283203;15;0.915527;-58;-3.54004;-15;-0.915527;0;-2048;0;-2048;0;0;1
[00:40:59.247] ;8d 03 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f d4 ff 1e 08 22 00 0f 00 c4 ff ed ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.9461;4129677;1008.22;3844;38.44;-44;-0.0214844;2078;1.01465;34;0.0166016;15;0.915527;-60;-3.66211;-19;-1.15967;0;-2048;0;-2048;0;0;1
[00:40:59.744] ;46 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f dc ff 21 08 32 00 10 00 b0 ff ef ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.5683;4129862;1008.27;3845;38.45;-36;-0.0175781;2081;1.01611;50;0.0244141;16;0.976563;-80;-4.88281;-17;-1.0376;0;-2048;0;-2048;0;0;1
[00:41:00.240] ;12 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f dd ff 1b 08 33 00 0c 00 ab ff ef ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.6739;4129810;1008.25;3845;38.45;-35;-0.0170898;2075;1.01318;51;0.0249023;12;0.732422;-85;-5.18799;-17;-1.0376;0;-2048;0;-2048;0;0;1
[00:41:00.747] ;20 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f cc ff 1e 08 28 00 0f 00 b0 ff f0 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.6449;4129824;1008.26;3845;38.45;-52;-0.0253906;2078;1.01465;40;0.0195313;15;0.915527;-80;-4.88281;-16;-0.976563;0;-2048;0;-2048;0;0;1
[00:41:01.243] ;03 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f e0 ff 1b 08 3f 00 0e 00 cb ff ec ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.7057;4129795;1008.25;3845;38.45;-32;-0.015625;2075;1.01318;63;0.0307617;14;0.854492;-53;-3.23486;-20;-1.2207;0;-2048;0;-2048;0;0;1
[00:41:01.742] ;04 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f 12 00 21 08 f2 ff 0a 00 c9 ff f3 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.703;4129796;1008.25;3845;38.45;18;0.00878906;2081;1.01611;-14;-0.00683594;10;0.610352;-55;-3.35693;-13;-0.793457;0;-2048;0;-2048;0;0;1
[00:41:02.243] ;44 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f c5 ff 1b 08 48 00 0f 00 9c ff ef ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.5709;4129860;1008.27;3844;38.44;-59;-0.0288086;2075;1.01318;72;0.0351563;15;0.915527;-100;-6.10352;-17;-1.0376;0;-2048;0;-2048;0;0;1
[00:41:02.746] ;25 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f de ff 1f 08 24 00 0e 00 e2 ff ee ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.6343;4129829;1008.26;3845;38.45;-34;-0.0166016;2079;1.01514;36;0.0175781;14;0.854492;-30;-1.83105;-18;-1.09863;0;-2048;0;-2048;0;0;1
