Timestamp;Frame HEX;ID;Sts;FlightStatus;GNSS Fix;GNSS Fix Type;Lat;LatFloat;Lon;LonFloat;Altitude GNSS;Altitude Baro;Pressure;Pressure Float;Temperature;Temperature Float;Acc X;Acc X Float;Acc Y;Acc Y Float;Acc Z;Acc Z Float;Gyro X;Gyro X Float;Gyro Y;Gyro Y Float;Gyro Z;Gyro Z Float;Annex 0;Annex 0 Float;Annex 1;Annex 1 Float;CRC Received;CRC Calculated;CRC Check
[00:43:01.291] ;b9 f5 3e 00 00 00 00 00 00 00 00 00 ef ff 0b 0b e5 ff 13 08 4c 00 11 00 ba ff ea ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.1727;4126137;1007.36;2827;28.27;-27;-0.0131836;2067;1.00928;76;0.0371094;17;1.0376;-70;-4.27246;-22;-1.34277;0;-2048;0;-2048;0;0;1
[00:43:01.617] ;79 f6 3e 00 00 00 00 00 00 00 00 00 ef ff 0d 0b dd ff 16 08 51 00 0f 00 bb ff ea ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;48.779;4126329;1007.4;2829;28.29;-35;-0.0170898;2070;1.01074;81;0.0395508;15;0.915527;-69;-4.21143;-22;-1.34277;0;-2048;0;-2048;0;0;1
[00:43:01.953] ;cc f5 3e 00 00 00 00 00 00 00 00 00 ef ff 0e 0b de ff 16 08 54 00 11 00 ba ff ec ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.1331;4126156;1007.36;2830;28.3;-34;-0.0166016;2070;1.01074;84;0.0410156;17;1.0376;-70;-4.27246;-20;-1.2207;0;-2048;0;-2048;0;0;1
[00:43:02.287] ;a6 f5 3e 00 00 00 00 00 00 00 00 00 ef ff 0e 0b dd ff 15 08 4f 00 10 00 bc ff e9 ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.2124;4126118;1007.35;2830;28.3;-35;-0.0170898;2069;1.01025;79;0.0385742;16;0.976563;-68;-4.15039;-23;-1.40381;0;-2048;0;-2048;0;0;1
[00:43:02.957] ;99 f5 3e 00 00 00 00 00 00 00 00 00 ef ff 10 0b dd ff 15 08 56 00 10 00 bc ff ea ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.2388;4126105;1007.35;2832;28.32;-35;-0.0170898;2069;1.01025;86;0.0419922;16;0.976563;-68;-4.15039;-22;-1.34277;0;-2048;0;-2048;0;0;1
[00:43:03.284] ;db f5 3e 00 00 00 00 00 00 00 00 00 ef ff 11 0b e1 ff 10 08 50 00 10 00 bb ff e9 ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.104;4126171;1007.37;2833;28.33;-31;-0.0151367;2064;1.00781;80;0.0390625;16;0.976563;-69;-4.21143;-23;-1.40381;0;-2048;0;-2048;0;0;1
[00:43:03.619] ;fc f5 3e 00 00 00 00 00 00 00 00 00 ef ff 12 0b e2 ff 16 08 4e 00 10 00 bb ff e9 ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.0353;4126204;1007.37;2834;28.34;-30;-0.0146484;2070;1.01074;78;0.0380859;16;0.976563;-69;-4.21143;-23;-1.40381;0;-2048;0;-2048;0;0;1
[00:43:03.952] ;ef f5 3e 00 00 00 00 00 00 00 00 00 ef ff 13 0b df ff 11 08 57 00 11 00 ba ff e8 ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.0617;4126191;1007.37;2835;28.35;-33;-0.0161133;2065;1.0083;87;0.0424805;17;1.0376;-70;-4.27246;-24;-1.46484;0;-2048;0;-2048;0;0;1
[00:43:04.285] ;9c f5 3e 00 00 00 00 00 00 00 00 00 ef ff 15 0b e5 ff 11 08 50 00 10 00 bb ff ea ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.2308;4126108;1007.35;2837;28.37;-27;-0.0131836;2065;1.0083;80;0.0390625;16;0.976563;-69;-4.21143;-22;-1.34277;0;-2048;0;-2048;0;0;1
[00:43:04.620] ;b4 f5 3e 00 00 00 00 00 00 00 00 00 ef ff 15 0b db ff 17 08 55 00 10 00 bb ff e9 ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.1833;4126132;1007.36;2837;28.37;-37;-0.0180664;2071;1.01123;85;0.0415039;16;0.976563;-69;-4.21143;-23;-1.40381;0;-2048;0;-2048;0;0;1
[00:43:04.954] ;00 f6 3e 00 00 00 00 00 00 00 00 00 ef ff 16 0b e0 ff 14 08 4f 00 10 00 ba ff ea ff 00 00 00 00 c0;3;192;0;0;0;0;0;0;0;-17;49.0274;4126208;1007.38;2838;28.38;-32;-0.015625;2068;1.00977;79;0.0385742;16;0.976563;-70;-4.27246;-22;-1.34277;0;-2048;0;-2048;0;0;1
