Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[13:58:10.424] ;65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 62 20 31 30 20 66 62 20 66 66 20;32;1717968952;540172832;12592;1713386085;13088;8290;12337;26144;8290;26214
[13:58:10.923] ;66 63 20 30 37 20 61 66 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20 34 38 0d;13;1717641271;540094496;14693;807428966;26144;8294;12336;12320;8240;14388
[13:58:11.424] ;0a 32 39 20 37 31 20 33 63 20 30 30 20 66 30 20 38 64 20 63 32 20 31 39 20 62 36;54;857747767;808460387;26144;540619274;8240;25656;25376;8242;14641;25120
[13:58:11.924] ;20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 36 20 31 30 20 66 37 20 66 66;102;1713387622;845291622;12320;540173600;8241;13875;12576;8240;14182;26144
[13:58:12.425] ;20 66 38 20 30 37 20 62 33 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20 34 38;56;1646278448;825237555;25888;540567072;8249;26214;12320;8240;12336;13344
[13:58:12.926] ;0d 0a 33 38 20 37 31 20 33 63 20 30 30 20 66 30 20 38 64 20 63 32 20 31 39 20 62;98;540096288;807428915;8240;942869005;12390;14368;8292;12899;12576;8249
[13:58:13.426] ;37 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 35 20 31 30 20 66 37 20 66;102;540567072;1646290534;8242;845488183;12592;13088;8245;12337;26144;8247
[13:58:13.927] ;66 20 66 63 20 30 37 20 62 31 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20 34;52;540487712;807416162;8241;1667637350;14693;26144;8294;12336;12320;8240
[13:58:14.427] ;38 0d 0a 64 32 20 37 30 20 33 63 20 30 30 20 66 32 20 38 64 20 63 32 20 31 39 20;32;808919090;543372064;12336;1678380344;26144;8242;25656;25376;8242;14641
[13:58:14.928] ;62 38 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30 20 66 37 20;32;946217010;543581728;12898;1696610402;12320;8241;14387;12576;8240;14182
[13:58:15.429] ;66 66 20 66 33 20 30 37 20 61 61 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20;32;925900851;543252768;12592;1713399398;25888;8249;26214;12320;8240;12336
[13:58:15.930] ;34 38 0d 0a 65 31 20 37 30 20 33 63 20 30 30 20 66 32 20 38 64 20 63 32 20 31 39;57;924856677;1664294960;12320;168638516;8240;12902;14368;8292;12899;12576
[13:58:16.430] ;20 62 61 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30 20 66 39;57;1713386085;1717968952;25120;543253024;8242;12592;13088;8248;12337;26144
[13:58:16.931] ;20 66 66 20 66 63 20 30 37 20 61 66 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30;48;807428966;1717641271;12320;543581728;8241;14693;26144;8294;12336;12320
[13:58:17.432] ;20 34 38 0d 0a 30 39 20 37 31 20 33 63 20 30 30 20 66 34 20 38 64 20 63 32 20 31;49;540618762;857747767;8291;221787168;12336;26144;8244;25656;25376;8242
[13:58:17.933] ;39 20 62 63 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30 20 66;102;540173600;1713387622;8294;1667375161;12898;12320;8241;14387;12576;8240
[13:58:18.434] ;34 20 66 66 20 66 64 20 30 37 20 61 65 20 30 31 20 65 39 20 66 66 20 30 30 20 30;48;543450656;1629501232;8293;1717968948;12592;25888;8249;26214;12320;8240
[13:58:18.934] ;30 20 34 38 0d 0a 62 32 20 37 31 20 33 63 20 30 30 20 66 35 20 38 64 20 63 32 20;32;845285901;540096288;25395;942940208;12320;8240;13670;14368;8292;12899
[13:58:19.434] ;31 39 20 62 66 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30 20;32;845488230;540567072;26214;1646278961;25120;8242;12592;13088;8248;12337
[13:58:19.935] ;66 33 20 66 66 20 66 63 20 30 37 20 61 62 20 30 31 20 65 39 20 66 66 20 30 30 20;32;1667637350;540487712;25185;1713386342;12320;8241;14693;26144;8294;12336
[13:58:20.436] ;30 30 20 34 38 0d 0a 39 31 20 37 31 20 33 63 20 30 30 20 66 36 20 38 64 20 63 32;50;956960056;825696305;13088;874524720;8291;12336;26144;8246;25656;25376
[13:58:20.937] ;20 31 39 20 63 31 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30;48;1696608611;946217010;26144;540619040;8294;12898;12320;8241;14387;12576
[13:58:21.438] ;20 66 34 20 66 66 20 66 62 20 30 37 20 62 35 20 30 31 20 65 61 20 66 66 20 30 30;48;1713399398;925900898;25120;540304928;8245;12592;25888;8289;26214;12320
[13:58:21.939] ;20 30 30 20 34 38 0d 0a 35 61 20 37 31 20 33 63 20 30 30 20 66 32 20 38 64 20 63;99;168638516;924868917;8241;540028960;25395;12320;8240;12902;14368;8292
[13:58:22.439] ;32 20 31 39 20 63 33 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31;49;540238624;1713386085;8248;959520818;26214;25120;8242;12592;13088;8248
[13:58:22.940] ;30 20 66 31 20 66 66 20 66 38 20 30 37 20 62 31 20 30 31 20 65 61 20 66 66 20 30;48;543581728;807417958;8247;828776496;12642;12320;8241;24933;26144;8294
[13:58:23.440] ;30 20 30 30 20 34 38 0d 0a 33 66 20 37 31 20 33 63 20 30 30 20 65 66 20 38 64 20;32;221787168;543568650;12599;808460336;13088;8291;12336;25888;8294;25656
[13:58:23.941] ;63 32 20 31 39 20 62 64 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20;32;1684152377;540173600;14438;824193635;26144;8294;12898;12320;8241;14387
[13:58:24.442] ;31 30 20 66 36 20 66 66 20 66 39 20 30 37 20 61 37 20 30 31 20 65 39 20 66 66 20;32;1717968950;540632608;14128;1713385521;24864;8247;12592;25888;8249;26214
[13:58:24.943] ;30 30 20 30 30 20 34 38 0d 0a 66 66 20 37 30 20 33 63 20 30 30 20 65 39 20 38 64;100;942940208;1717963277;14112;807415856;8240;25395;12320;8240;14693;14368
[13:58:25.444] ;20 63 32 20 31 39 20 63 30 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38;56;1663056177;845488176;26144;540173088;8248;26214;25120;8242;12592;13088
[13:58:25.945] ;20 31 30 20 66 33 20 66 66 20 66 63 20 30 37 20 61 36 20 30 31 20 65 61 20 66 66;102;1713386342;1667637350;12320;540029216;8247;13921;12320;8241;24933;26144
[13:58:26.446] ;20 30 30 20 30 30 20 34 38 0d 0a 31 39 20 37 31 20 33 63 20 30 30 20 65 37 20 38;56;874524720;822742328;8249;540028960;12599;13088;8291;12336;25888;8247
