Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[14:00:18.593] ;38 65 20 65 32 20 66 38 20 66 66 20 62 33 20 30 31 20 33 36 20 31 30 20 66 61 20;32;946217010;543581728;13154;1696621880;12320;8241;13875;12576;8240;24934
[14:00:19.110] ;66 66 20 66 64 20 30 37 20 62 30 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20;32;925900900;540041760;12592;1713399398;25888;8249;26214;12320;8240;12336
[14:00:19.628] ;34 38 0d 0a 62 33 20 37 30 20 33 63 20 30 30 20 33 61 20 38 64 20 63 32 20 31 39;57;924857186;1664294960;12320;168638516;8240;24883;14368;8292;12899;12576
[14:00:20.149] ;20 38 63 20 65 32 20 66 38 20 66 66 20 62 33 20 30 31 20 33 36 20 31 30 20 66 38;56;1713386085;1717968952;25120;543373344;8243;12592;13088;8246;12337;26144
[14:00:20.679] ;20 66 66 20 66 65 20 30 37 20 61 63 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30;48;807429478;1667309623;12320;543581728;8241;14693;26144;8294;12336;12320
[14:00:21.141] ;20 34 38 0d 0a 66 36 20 37 30 20 33 63 20 30 30 20 33 36 20 38 64 20 63 32 20 31;49;540435978;857747511;8291;221787168;12336;13088;8246;25656;25376;8242
[14:00:21.868] ;39 20 38 37 20 65 32 20 66 38 20 66 66 20 62 33 20 30 31 20 33 36 20 31 30 20 66;102;540173600;1713387622;8294;926425145;13154;12320;8241;13875;12576;8240
[14:00:22.589] ;61 20 66 66 20 66 61 20 30 37 20 62 38 20 30 31 20 65 39 20 66 66 20 30 30 20 30;48;543254048;1646278448;8248;1717968993;12592;25888;8249;26214;12320;8240
