Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[15:07:02.318] ;3e 71 3c 00 ef 8d c2 19 b4 e2 f8 ff b2 01 3b 10 fb ff fc 07 af 01 e9 ff 00 00 48;72;432180719;-466252;434;3961150;4155;-5;2044;431;-23;0
[15:07:02.519] ;29 71 3c 00 f0 8d c2 19 b6 e2 f8 ff b2 01 36 10 f7 ff f8 07 b3 01 e9 ff 00 00 48;72;432180720;-466250;434;3961129;4150;-9;2040;435;-23;0
[15:07:02.720] ;38 71 3c 00 f0 8d c2 19 b7 e2 f8 ff b2 01 35 10 f7 ff fc 07 b1 01 e9 ff 00 00 48;72;432180720;-466249;434;3961144;4149;-9;2044;433;-23;0
[15:07:02.921] ;d2 70 3c 00 f2 8d c2 19 b8 e2 f8 ff b2 01 38 10 f7 ff f3 07 aa 01 e9 ff 00 00 48;72;432180722;-466248;434;3961042;4152;-9;2035;426;-23;0
[15:07:03.122] ;e1 70 3c 00 f2 8d c2 19 ba e2 f8 ff b2 01 38 10 f9 ff fc 07 af 01 e9 ff 00 00 48;72;432180722;-466246;434;3961057;4152;-7;2044;431;-23;0
[15:07:03.322] ;09 71 3c 00 f4 8d c2 19 bc e2 f8 ff b2 01 38 10 f4 ff fd 07 ae 01 e9 ff 00 00 48;72;432180724;-466244;434;3961097;4152;-12;2045;430;-23;0
[15:07:03.523] ;b2 71 3c 00 f5 8d c2 19 bf e2 f8 ff b2 01 38 10 f3 ff fc 07 ab 01 e9 ff 00 00 48;72;432180725;-466241;434;3961266;4152;-13;2044;427;-23;0
[15:07:03.724] ;91 71 3c 00 f6 8d c2 19 c1 e2 f8 ff b2 01 38 10 f4 ff fb 07 b5 01 ea ff 00 00 48;72;432180726;-466239;434;3961233;4152;-12;2043;437;-22;0
[15:07:03.924] ;5a 71 3c 00 f2 8d c2 19 c3 e2 f8 ff b2 01 38 10 f1 ff f8 07 b1 01 ea ff 00 00 48;72;432180722;-466237;434;3961178;4152;-15;2040;433;-22;0
[15:07:04.126] ;3f 71 3c 00 ef 8d c2 19 bd e2 f8 ff b2 01 38 10 f6 ff f9 07 a7 01 e9 ff 00 00 48;72;432180719;-466243;434;3961151;4152;-10;2041;423;-23;0
[15:07:04.326] ;ff 70 3c 00 e9 8d c2 19 c0 e2 f8 ff b2 01 38 10 f3 ff fc 07 a6 01 ea ff 00 00 48;72;432180713;-466240;434;3961087;4152;-13;2044;422;-22;0
[15:07:04.527] ;19 71 3c 00 e7 8d c2 19 bd e2 f8 ff b2 01 39 10 f2 ff f9 07 ad 01 e9 ff 00 00 48;72;432180711;-466243;434;3961113;4153;-14;2041;429;-23;0
[15:07:04.728] ;6a 71 3c 00 e3 8d c2 19 ba e2 f8 ff b2 01 39 10 f2 ff f9 07 ae 01 e9 ff 00 00 48;72;432180707;-466246;434;3961194;4153;-14;2041;430;-23;0
[15:07:04.930] ;9e 71 3c 00 e2 8d c2 19 b9 e2 f8 ff b2 01 3a 10 f0 ff fb 07 ab 01 e9 ff 00 00 48;72;432180706;-466247;434;3961246;4154;-16;2043;427;-23;0
[15:07:05.130] ;1e 71 3c 00 db 8d c2 19 b9 e2 f8 ff b2 01 3a 10 f2 ff f8 07 ab 01 e9 ff 00 00 48;72;432180699;-466247;434;3961118;4154;-14;2040;427;-23;0
[15:07:05.331] ;fd 70 3c 00 d7 8d c2 19 b6 e2 f8 ff b2 01 3a 10 f5 ff fa 07 aa 01 e9 ff 00 00 48;72;432180695;-466250;434;3961085;4154;-11;2042;426;-23;0
[15:07:05.532] ;60 71 3c 00 d3 8d c2 19 b4 e2 f8 ff b2 01 38 10 f5 ff fd 07 af 01 e9 ff 00 00 48;72;432180691;-466252;434;3961184;4152;-11;2045;431;-23;0
[15:07:05.733] ;d7 70 3c 00 d4 8d c2 19 b4 e2 f8 ff b2 01 38 10 f3 ff fb 07 b1 01 e9 ff 00 00 48;72;432180692;-466252;434;3961047;4152;-13;2043;433;-23;0
[15:07:05.934] ;bc 70 3c 00 cb 8d c2 19 b2 e2 f8 ff b2 01 3a 10 f6 ff fa 07 aa 01 e9 ff 00 00 48;72;432180683;-466254;434;3961020;4154;-10;2042;426;-23;0
[15:07:06.135] ;42 71 3c 00 ca 8d c2 19 b1 e2 f8 ff b2 01 3a 10 f9 ff fe 07 ac 01 e9 ff 00 00 48;72;432180682;-466255;434;3961154;4154;-7;2046;428;-23;0
[15:07:06.335] ;6e 71 3c 00 c9 8d c2 19 b0 e2 f8 ff b3 01 3a 10 f8 ff fb 07 ac 01 e9 ff 00 00 48;72;432180681;-466256;435;3961198;4154;-8;2043;428;-23;0
[15:07:06.536] ;d6 70 3c 00 c8 8d c2 19 b0 e2 f8 ff b2 01 3b 10 f3 ff fb 07 ad 01 e9 ff 00 00 48;72;432180680;-466256;434;3961046;4155;-13;2043;429;-23;0
[15:07:06.737] ;10 71 3c 00 c6 8d c2 19 b0 e2 f8 ff b2 01 3b 10 f9 ff fe 07 b1 01 e9 ff 00 00 48;72;432180678;-466256;434;3961104;4155;-7;2046;433;-23;0
[15:07:06.938] ;50 71 3c 00 c3 8d c2 19 af e2 f8 ff b3 01 3b 10 f4 ff f9 07 ad 01 e9 ff 00 00 48;72;432180675;-466257;435;3961168;4155;-12;2041;429;-23;0
[15:07:07.139] ;80 71 3c 00 c2 8d c2 19 af e2 f8 ff b2 01 3a 10 f7 ff f8 07 ae 01 e9 ff 00 00 48;72;432180674;-466257;434;3961216;4154;-9;2040;430;-23;0
[15:07:07.339] ;34 71 3c 00 c2 8d c2 19 ae e2 f8 ff b3 01 3b 10 f1 ff f8 07 b2 01 e9 ff 00 00 48;72;432180674;-466258;435;3961140;4155;-15;2040;434;-23;0
[15:07:07.540] ;34 71 3c 00 c3 8d c2 19 ac e2 f8 ff b3 01 36 10 f4 ff f7 07 ac 01 e9 ff 00 00 48;72;432180675;-466260;435;3961140;4150;-12;2039;428;-23;0
[15:07:07.741] ;8f 71 3c 00 c3 8d c2 19 aa e2 f8 ff b3 01 37 10 f8 ff fc 07 b2 01 e9 ff 00 00 48;72;432180675;-466262;435;3961231;4151;-8;2044;434;-23;0
[15:07:07.942] ;1e 71 3c 00 c2 8d c2 19 a9 e2 f8 ff b3 01 39 10 f0 ff fc 07 ad 01 e9 ff 00 00 48;72;432180674;-466263;435;3961118;4153;-16;2044;429;-23;0
[15:07:08.143] ;2a 71 3c 00 c1 8d c2 19 a9 e2 f8 ff b3 01 39 10 f4 ff f8 07 b4 01 e9 ff 00 00 48;72;432180673;-466263;435;3961130;4153;-12;2040;436;-23;0
[15:07:08.344] ;cc 70 3c 00 bd 8d c2 19 a8 e2 f8 ff b3 01 39 10 f6 ff fa 07 ad 01 e9 ff 00 00 48;72;432180669;-466264;435;3961036;4153;-10;2042;429;-23;0
[15:07:08.549] ;3b 71 3c 00 bd 8d c2 19 a7 e2 f8 ff b3 01 3a 10 f4 ff fd 07 a9 01 e9 ff 00 00 48;72;432180669;-466265;435;3961147;4154;-12;2045;425;-23;0
[15:07:08.747] ;e9 70 3c 00 be 8d c2 19 a5 e2 f8 ff b3 01 39 10 f0 ff f7 07 aa 01 e9 ff 00 00 48;72;432180670;-466267;435;3961065;4153;-16;2039;426;-23;0
[15:07:08.948] ;91 70 3c 00 bd 8d c2 19 a6 e2 f8 ff b3 01 38 10 f3 ff 01 08 af 01 e9 ff 00 00 48;72;432180669;-466266;435;3960977;4152;-13;2049;431;-23;0
